Accession,Country,Region,Year,Stx,PT
SRR3530392,UK,UK,2015,stx2a,"PT 32"
SRR3530530,UK,UK,2015,stx2a,"PT 2"
SRR3530616,UK,UK,2015,stx2a,"PT 8"
SRR3531422,Turkey,"M. East",2015,"stx2c stx1a","PT 8"
SRR3531744,UK,UK,2015,"stx1a stx2a stx2c","PT 8"
SRR3531853,Cyprus,"S. Europe",2015,"stx2c stx1a","PT 8"
SRR3531889,UK,UK,2015,stx2a,"PT 21/28"
SRR3531915,UK,UK,2015,stx2a,"PT 8"
SRR3742204,UK,UK,2016,"stx2c stx1a","PT 8"
SRR3742206,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742207,UK,UK,2016,stx2a,"PT 21/28"
SRR3742210,UK,UK,2016,"stx2c stx1a","PT 8"
SRR3742212,UK,UK,2016,"stx2c stx1a","PT 8"
SRR3742215,UK,UK,2016,"stx2c stx1a","PT 8"
SRR3742238,UK,UK,2016,"stx2c stx1a","PT 8"
SRR3742239,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742240,France,"C. Europe",2016,"stx2c stx1a","PT 54"
SRR3742243,Portugal,"S. Europe",2016,"stx2a stx2c","PT 34"
SRR3742244,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742245,UK,UK,2016,stx2a,"PT 21/28"
SRR3742247,UK,UK,2016,stx2c,"PT 4"
SRR3742248,UK,UK,2016,"stx2a stx2c","PT 31"
SRR3742250,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742252,UK,UK,2016,"stx2c stx1a","PT 8"
SRR3742253,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742254,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742255,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742256,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742257,Spain,"S. Europe",2016,"stx2a stx2c","PT 34"
SRR3742258,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742260,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742262,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742267,Cyprus,"S. Europe",2016,"stx2c stx1a","PT 8"
SRR3742275,UK,UK,2016,"stx2a stx1a","PT 32"
SRR3742277,UK,UK,2016,"stx2a stx2c","PT 32"
SRR3742278,UK,UK,2016,stx2c,"PT 34"
SRR3742279,Turkey,"M. East",2016,stx2c,"PT 34"
SRR3742280,Guernsey,"C. Europe",2016,"stx2a stx2c","PT 34"
SRR3742281,UK,UK,2016,"stx2c stx1a","PT 8"
SRR3742282,UK,UK,2016,stx2a,"PT 32"
SRR3742283,UK,UK,2016,"stx1a stx2a stx2c","PT 8"
SRR3742284,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742285,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742286,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742287,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742288,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742289,UK,UK,2016,"stx2a stx2c","PT 34"
SRR3742290,UK,UK,2016,stx2c,"PT 14"
SRR3742291,UK,UK,2016,stx2a,"PT 32"
SRR3742292,Ireland,"C. Europe",2016,"stx2a stx2c","PT 34"
SRR3773333,UK,UK,2015,stx2a,"PT 21/28"
SRR3773391,UK,UK,2015,stx2a,"PT 21/28"
SRR3773392,UK,UK,2015,stx2a,"PT 4"
SRR3773402,UK,UK,2015,stx2a,"PT 21/28"
SRR3773572,UK,UK,2015,stx2a,"PT 21/28"
SRR3773574,UK,UK,2015,"stx2a stx2c","PT 4"
SRR3773576,UK,UK,2015,stx2a,"PT 21/28"
SRR3773746,UK,UK,2015,"stx2a stx2c","PT 21/28"
SRR3773772,UK,UK,2015,stx2a,"PT 21/28"
SRR3773877,UK,UK,2015,stx2a,"PT 21/28"
SRR3773886,UK,UK,2015,stx2a,"PT 21/28"
SRR3773936,UK,UK,2015,stx2a,"PT 21/28"
SRR3773940,UK,UK,2015,"stx2a stx2c","PT 21/28"
SRR3773951,UK,UK,2015,"stx2a stx2c","PT 21/28"
SRR4181504,UK,UK,2014,stx2a,"PT 21/28"
SRR4181512,UK,UK,2014,stx2a,"PT 21/28"
SRR4181582,UK,UK,2014,stx2a,"PT 21/28"
SRR4184696,UK,UK,2015,stx2a,"PT 54"
SRR4184701,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4184729,UK,UK,2015,"stx2a stx2c","PT 21/28"
SRR4184741,UK,UK,2015,stx2c,"PT 34"
SRR4184755,UK,UK,2015,"stx2a stx2c","PT 21/28"
SRR4184777,UK,UK,2015,"stx1a stx2a stx2c","PT 8"
SRR4184787,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4184801,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4184811,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4184812,UK,UK,2015,stx2a,"PT 8"
SRR4184814,UK,UK,2015,stx2a,"PT 33"
SRR4184817,UK,UK,2015,stx2a,"PT 21/28"
SRR4184825,UK,UK,2015,stx2a,"PT 8"
SRR4184829,Spain,"S. Europe",2015,stx2c,"PT 32"
SRR4184831,India,Asia,2015,stx2c,RDNC
SRR4184834,Morocco,"N. Africa",2015,"stx2c stx1a","PT 8"
SRR4184835,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4184840,UK,UK,2015,"stx2a stx2c","PT 34"
SRR4184846,Egypt,"N. Africa",2015,stx2a,"PT 31"
SRR4184848,Egypt,"N. Africa",2015,stx2a,"PT 1"
SRR4184855,Denmark,"N. Europe",2015,"stx2a stx1a","PT 1"
SRR4184857,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4192079,UK,UK,2016,"stx2a stx2c","PT 2"
SRR4192097,UK,UK,2015,stx2a,"PT 2"
SRR4192102,UK,UK,2015,"stx2a stx2c","PT 2"
SRR4192111,UK,UK,2015,"stx2a stx2c","PT 24"
SRR4192121,UK,UK,2015,"stx2a stx2c","PT 24"
SRR4193361,UK,UK,2015,stx2c,"PT 54"
SRR4194029,Morocco,"N. Africa",2016,"stx2c stx1a","PT 8"
SRR4194373,UK,UK,2015,"stx2a stx2c","PT 21/28"
SRR4195486,"St Vincent and the Grenadines","C. America",2015,stx2c,"PT 34"
SRR4195621,UK,UK,2015,stx2a,"PT 46"
SRR4195631,UK,UK,2015,stx2a,"PT 1"
SRR4195642,UAE,"M. East",2016,stx2c,"PT 14"
SRR4195711,UK,UK,2015,"stx2a stx2c","PT 24"
SRR4195716,UK,UK,2015,"stx2a stx2c","PT 21/28"
SRR4195718,UK,UK,2015,stx2a,"PT 51"
SRR4195721,UK,UK,2015,stx2a,"PT 21/28"
SRR4195749,UK,UK,2015,stx2c,RDNC
SRR4195762,UK,UK,2015,stx2a,"PT 34"
SRR4195765,Spain,"S. Europe",2015,"stx2a stx2c","PT 2"
SRR4195775,UK,UK,2015,"stx2a stx2c","PT 24"
SRR4195776,UK,UK,2016,stx2a,"PT 2"
SRR4195778,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4785507,UK,UK,2016,"stx2c stx1a",RDNC
SRR4786051,Italy,"S. Europe",2016,"stx2c stx1a","PT 8"
SRR4786102,Morocco,"N. Africa",2016,"stx2c stx1a","PT 8"
SRR4786115,UK,UK,2016,"stx2a stx2c","PT 54"
SRR4786157,UK,UK,2016,"stx2a stx2c","PT 2"
SRR4786187,UK,UK,2016,stx2a,"PT 21/28"
SRR4786188,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4786197,UK,UK,2016,"stx2c stx1a","PT 8"
SRR4786231,UK,UK,2016,"stx2a stx2c","PT 2"
SRR4786321,UK,UK,2016,stx2a,"PT 21/28"
SRR4786333,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4786369,UK,UK,2016,stx2a,"PT 56"
SRR4786371,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4786372,India,Asia,2016,"stx2c stx1a","PT 8"
SRR4786402,UK,UK,2016,"stx2a stx2c","PT 14"
SRR4786431,UK,UK,2016,stx2a,"PT 21/28"
SRR4786485,UK,UK,2016,"stx2a stx2c","PT 4"
SRR4786506,UK,UK,2016,"stx2c stx1a","PT 8"
SRR4786508,UK,UK,2016,"stx1a stx2a stx2c","PT 8"
SRR4786521,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4786523,UK,UK,2016,"stx2c stx1a","PT 8"
SRR4786541,Vietnam,Asia,2016,stx2c,"PT 90"
SRR4786546,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4786560,Turkey,"M. East",2015,stx2a,"PT 8"
SRR4786594,UK,UK,2016,"stx2a stx2c","PT 4"
SRR4786597,UK,UK,2016,"stx2c stx1a","PT 8"
SRR4786637,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4786638,UK,UK,2016,"stx2c stx1a","PT 8"
SRR4786741,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4786758,UK,UK,2016,"stx2a stx2c","PT 21/28"
SRR4786802,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4786809,UK,UK,2016,stx2a,"PT 8"
SRR4786834,UK,UK,2016,"stx2a stx2c","PT 21/28"
SRR4786852,Portugal,"S. Europe",2016,"stx2a stx2c","PT 34"
SRR4786858,UK,UK,2014,stx2a,"PT 21/28"
SRR4786865,UK,UK,2015,"stx2c stx1a","PT 8"
SRR4786881,Turkey,"M. East",2016,"stx2c stx1a","PT 8"
SRR4786890,UK,UK,2015,"stx2a stx2c","PT 2"
SRR4786891,UK,UK,2016,stx2c,"PT 54"
SRR4786892,UK,UK,2016,stx2a,"PT 1"
SRR4786923,Turkey,"M. East",2016,stx2c,"PT 54"
SRR4786995,UK,UK,2015,stx2a,"PT 8"
SRR4787009,UK,UK,2016,"stx2a stx2c","PT 51"
SRR4787059,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4787060,Turkey,"M. East",2015,stx2c,"PT 34"
SRR4787061,UK,UK,2016,"stx2a stx2c","PT 21/28"
SRR4787062,UK,UK,2016,stx2c,"PT 54"
SRR4787063,UK,UK,2016,"stx2a stx2c","PT 21/28"
SRR4787064,Turkey,"M. East",2016,"stx2c stx1a","PT 14"
SRR4787065,UK,UK,2016,"stx2a stx2c","PT 21/28"
SRR4787068,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4787069,UK,UK,2016,"stx2a stx2c","PT 32"
SRR4787074,UK,UK,2016,"stx2c stx1a","PT 1"
SRR4787075,UK,UK,2016,"stx2c stx1a","PT 8"
SRR4787153,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4787161,UK,UK,2016,"stx2c stx1a","PT 8"
SRR4787163,UK,UK,2016,"stx2a stx2c","PT 34"
SRR4787173,UK,UK,2015,stx1a,"PT 8"
SRR4787178,UK,UK,2016,stx2a,"PT 21/28"
SRR4787179,UK,UK,2015,"stx2a stx2c","PT 2"
SRR4787191,Turkey,"M. East",2016,"stx2c stx1a","PT 8"
SRR4787195,UK,UK,2016,"stx2c stx1a","PT 8"
